Quantity Kind,QName,Dimension Symbol,Unit,QName,Unit Symbol,Same dimension symbol
Length,quantity:Length,L1,Meter,unit:Meter,m,
Mass,quantity:Mass,M1,Kilogram,unit:Kilogram,kg,
Time,quantity:Time,T1,Second,unit:Second,s,
Electric Current,quantity:ElectricCurrent,I1,Ampere,unit:Ampere,A,
Temperature,quantity:ThermodynamicTemperature,O1,Kelvin,unit:Kelvin,K,
Amount Of Substance,quantity:AmountOfSubstance,N1,Mole,unit:Mole,mol,
Angle,quantity:Angle,U1,Radian,unit:Radian,rad,9X
Luminous Intensity,quantity:LuminousIntensity,J1,Candela,unit:Candela,cd,
Absorbed Dose,quantity:AbsorbedDose,L2T-2,Gray,unit:Gray,Gy,5X
Absorbed Dose Rate,quantity:AbsorbedDoseRate,L2T-3,Gray Per Second,unit:GrayPerSecond,Gy/s,
Activity,quantity:Activity,T-1,Becquerel,unit:Becquerel,Bq,8X
Amount Of Substance Per Unit Volume,quantity:AmountOfSubstancePerUnitVolume,L-3N1,Mole Per Cubic Meter,unit:MolePerCubicMeter,mol/m^3,
Amount Of Substance Per Unit Mass,quantity:AmountOfSubstancePerUnitMass,M-1N1,Mole Per Kilogram,unit:MolePerKilogram,mol/kg,
Angular Acceleration,quantity:AngularAcceleration,U1T-2,Radian Per Second Squared,unit:RadianPerSecondSquared,rad/s^2,
Angular Mass,quantity:AngularMass,L2M1,Kilogram Meter Squared,unit:KilogramMeterSquared,kg-m^2,
Angular Momentum,quantity:AngularMomentum,L2M1T-1,Joule Second,unit:JouleSecond,J s,
Angular Velocity,quantity:AngularVelocity,U1T-1,Radian Per Second,unit:RadianPerSecond,rad/s,
Area,quantity:Area,L2,Square Meter,unit:SquareMeter,m^2,
Area Angle,quantity:AreaAngle,U2L2,Square Meter Steradian,unit:SquareMeterSteradian,m^2-sr,
Area TemPerature,quantity:AreaTemperature,L2O1,Square Meter Kelvin,unit:SquareMeterKelvin,m^2-K,
Area Thermal Expansion,quantity:AreaThermalExpansion,L2O-1,Square Meter Per Kelvin,unit:SquareMeterPerKelvin,m^2/K,
Capacitance,quantity:Capacitance,L-2M-1T4I2,Farad,unit:Farad,F,
Catalytic Activity,quantity:CatalyticActivity,T-1N1,Katal,unit:Katal,kat,
Coefficient Of Heat Transfer,quantity:CoefficientOfHeatTransfer,M1T-3O-1,Watt Per Square Meter Kelvin,unit:WattPerSquareMeterKelvin,W/(m^2-K),
Density,quantity:Density,L-3M1,Kilogram Per Cubic Meter,unit:KilogramPerCubicMeter,kg/m^3,
Dose Equivalent,quantity:DoseEquivalent,L2T-2,Sievert,unit:Sievert,Sv,5X
Dynamic Viscosity,quantity:DynamicViscosity,L-1M1T-1,Pascal Second,unit:PascalSecond,Pa-s,
Electric Charge,quantity:ElectricCharge,T1I1,Coulomb,unit:Coulomb,C,
Electric Charge Line Density,quantity:ElectricChargeLineDensity,L-1T1I1,Coulomb Per Meter,unit:CoulombPerMeter,C/m,
Electric Charge Volume Density,quantity:ElectricChargeVolumeDensity,L-3T1I1,Coulomb Per Cubic Meter,unit:CoulombPerCubicMeter,C/m^3,
Electric Charge Per Amount Of Substance,quantity:ElectricChargePerAmountOfSubstance,T1I1N-1,Coulomb Per Mole,unit:CoulombPerMole,C/mol,
Electric Current Density,quantity:ElectricCurrentDensity,L-2I1,Ampere Per Square Meter,unit:AmperePerSquareMeter,A/m^2,
Electric Current Per Angle,quantity:CurrentPerAngle,U-1I1,Ampere Per radian,unit:AmperePerRadian,A/rad,
Electric Dipole Moment,quantity:ElectricDipoleMoment,L1T1I1,Coulomb Meter,unit:CoulombMeter,C-m,
Electric Field Strength,quantity:ElectricFieldStrength,L1M1T-3I-1,Volt Per Meter,unit:VoltPerMeter,V/m,
Electric Flux Density,quantity:ElectricFluxDensity,L-2T1I1,Coulomb Per Square Meter,unit:CoulombPerSquareMeter,C/m^2,
Electrical Conductivity,quantity:ElectricalConductivity,L-2M-1T3I2,Siemens,unit:Siemens,S,
Electromotive Force,quantity:ElectromotiveForce,L2M1T-3I-1,Volt,unit:Volt,V,
Energy Density,quantity:EnergyDensity,L-1M1T-2,Joule Per Cubic Meter,unit:JoulePerCubicMeter,J/m^3,
Energy And Work,quantity:EnergyAndWork,L2M1T-2,Joule,unit:Joule,J,XX
Energy Per Unit Area,quantity:EnergyPerUnitArea,M1T-2,Joule Per Square Meter,unit:JoulePerSquareMeter,J/m^2,6X
Exposure,quantity:Exposure,M-1T1I1,Coulomb Per Kilogram,unit:CoulombPerKilogram,C/kg,
Force,quantity:Force,L1M1T-2,Newton,unit:Newton,N,
Force Per Electric Charge,quantity:ForcePerElectricCharge,L1M1T-3I-1,Newton Per coulomb,unit:NewtonPerCoulomb,N/C,
Force Per Unit Length,quantity:ForcePerUnitLength,M1T-2,Newton Per Meter,unit:NewtonPerMeter,N/m,6X
Frequency,quantity:Frequency,T-1,Hertz,unit:Hertz,Hz,8X
Gravitational Attraction,quantity:GravitationalAttraction,L3M-1T-2,Cubic Meter Per Kilogram Second Squared,unit:CubicMeterPerKilogramSecondSquared,m^3/(kg-s^2),
Heat Capacity And Entropy,quantity:HeatCapacityAndEntropy,L2M1T-2O-1,Joule Per Kelvin,unit:JoulePerKelvin,J/K,
Heat Flowrate,quantity:HeatFlowrate,L2M1T-3,Watt,unit:Watt,W,XXX
Heat Flowrate Per Unit Area,quantity:HeatFlowratePerUnitArea,M1T-3,Watt Per Square Meter,unit:WattPerSquareMeter,W/m^2,7X
Illuminance,quantity:Illuminance,U1L-2J1,Lux,unit:Lux,lx,
Inductance,quantity:Inductance,L2M1T-2I-2,Henry,unit:Henry,H,
Inverse Amount Of Substance,quantity:InverseAmountOfSubstance,N-1,Per Mole,unit:PerMole,mol^(-1),
Inverse Permittivity,quantity:InversePermittivity,L3M1T-4I-2,Meter Per farad,unit:MeterPerFarad,m/F,
